Name,Description,ParentState,IsAbstract,DisplayName,IsCollection,EntityName
APP_ROOT,A root state all other states derive from,,TRUE,Root
Home,Home page for the app,APP_ROOT,FALSE,Home
VIPs,Top Level Collection: VIPs,APP_ROOT,FALSE,VIPs,TRUE,VIP
VIP, ITEM: VIP,VIPs,FALSE,VIP,FALSE,VIP
Attendances,  - : Attendances,VIP,FALSE,Attendances,TRUE,Attendance
Attendance, ITEM: Attendance,Attendances,FALSE,Attendance,FALSE,Attendance
Venues,Top Level Collection: Venues,APP_ROOT,FALSE,Venues,TRUE,Venue
Venue, ITEM: Venue,Venues,FALSE,Venue,FALSE,Venue
EventDates,  - : EventDates,Venue,FALSE,EventDates,TRUE,EventDate
EventDate, ITEM: EventDate,EventDates,FALSE,EventDate,FALSE,EventDate
About,A page about the app,APP_ROOT,FALSE,About
Contact,A contact page for the company,APP_ROOT,FALSE,Contact
Chat,Chat with a live representative,Contact,FALSE,Chat
Email,Send an email to a representative,Contact,FALSE,Email
Call,Get a phone number for your country and or state.,Contact,FALSE,Call